iter	Logloss
0	0.6307132861
1	0.5794088066
2	0.5345747392
3	0.4989822434
4	0.4804436439
5	0.4602032353
6	0.44572454
7	0.4297507125
8	0.4177641424
9	0.4110010885
10	0.4038831406
11	0.3964392414
12	0.3907487638
13	0.3853948656
14	0.3779992839
15	0.3736728084
16	0.3703469357
17	0.3677215719
18	0.3652887653
19	0.3606826763
20	0.3576933226
21	0.3550511499
22	0.3511097838
23	0.3484606081
24	0.3444914342
25	0.3422349567
26	0.3394607898
27	0.3369228499
28	0.3345125912
29	0.3328041022
30	0.3313040916
31	0.3291880749
32	0.3281890956
33	0.3261411112
34	0.3241612943
35	0.3223809681
36	0.3202520209
37	0.3189139745
38	0.3178744812
39	0.3161570357
40	0.3146520473
41	0.3133158059
42	0.3121251948
43	0.3103776981
44	0.3088950211
45	0.3075217818
46	0.3068956919
47	0.3049032005
48	0.3027770593
49	0.3013152082
50	0.2999745899
51	0.2992774416
52	0.2973928075
53	0.2961187378
54	0.2952758901
55	0.2941393826
56	0.2928489984
57	0.2918358254
58	0.2905518746
59	0.2898063578
60	0.2889384682
61	0.2887156613
62	0.2881055776
63	0.2876333415
64	0.2867741545
65	0.2852555995
66	0.283788253
67	0.282572307
68	0.2820271592
69	0.2818189591
70	0.2810820225
71	0.2805426279
72	0.2798090939
73	0.279012842
74	0.2778454899
75	0.2759302553
76	0.2742215475
77	0.2731744336
78	0.272104989
79	0.2710359994
80	0.2698345932
81	0.2684148697
82	0.2669539339
83	0.2656109064
84	0.2645175976
85	0.26379785
86	0.2625145285
87	0.262303861
88	0.2619811482
89	0.2614058386
90	0.2605485897
91	0.2595666752
92	0.2586554419
93	0.2571819922
94	0.255723053
95	0.2551695419
96	0.2542752995
97	0.2534179266
98	0.2527047393
99	0.2523049683
100	0.2505706078
101	0.2493632329
102	0.2480450757
103	0.2473541518
104	0.2458945782
105	0.2450124003
106	0.2442874253
107	0.2432258607
108	0.2425004279
109	0.2418148556
110	0.2412286771
111	0.2399946303
112	0.2399301998
113	0.2385797418
114	0.2385074067
115	0.2369547488
116	0.2356497907
117	0.2346723784
118	0.2335863216
119	0.2324485556
120	0.2318976392
121	0.2305587949
122	0.2301150606
123	0.2291952032
124	0.2286544381
125	0.2279287702
126	0.227225012
127	0.2261757552
128	0.2251307521
129	0.2241351785
130	0.2240202254
131	0.2226003492
132	0.2218149166
133	0.2206430285
134	0.2195790721
135	0.2183171145
136	0.2172912222
137	0.2163540057
138	0.2156413281
139	0.2151937793
140	0.2144914357
141	0.2139321242
142	0.2129735635
143	0.2123218271
144	0.21186457
145	0.211265861
146	0.2107037454
147	0.2097611375
148	0.208580848
149	0.2073338125
150	0.2064801911
151	0.2059308804
152	0.2051832811
153	0.2044661908
154	0.2044271962
155	0.2033771286
156	0.2028294884
157	0.2024567817
158	0.2015284984
159	0.2003628095
160	0.1991015434
161	0.1986817103
162	0.1974894842
163	0.1964619546
164	0.1958901322
165	0.1952365458
166	0.1944602464
167	0.1938322881
168	0.1930842943
169	0.1924859783
170	0.1915107057
171	0.1909404854
172	0.1899985909
173	0.1892890236
174	0.1879593543
175	0.1873712314
176	0.1868108741
177	0.1863904532
178	0.1853301299
179	0.1841507569
180	0.1836969112
181	0.1830648717
182	0.1824511676
183	0.1820926524
184	0.1820539151
185	0.1813998973
186	0.1812763761
187	0.1810438555
188	0.180386549
189	0.1803727981
190	0.1795251767
191	0.179204078
192	0.1782626827
193	0.1777061652
194	0.1769331786
195	0.1764601689
196	0.1755144282
197	0.1748653031
198	0.1745700826
199	0.1738953307
200	0.1729800673
201	0.1721589728
202	0.17132705
203	0.1702965322
204	0.1696909522
205	0.1693118987
206	0.1690737751
207	0.1682567713
208	0.167489311
209	0.1665773636
210	0.1659995847
211	0.1649384374
212	0.1646557363
213	0.1641626902
214	0.1636081345
215	0.1627187262
216	0.1621425684
217	0.1613389326
218	0.160599023
219	0.1599943648
220	0.1591576788
221	0.1586111222
222	0.1584013564
223	0.1580863131
224	0.1573438109
225	0.1568595188
226	0.1563941016
227	0.1558519988
228	0.1555205789
229	0.1551457604
230	0.1544196142
231	0.1541108733
232	0.1534583167
233	0.1527428266
234	0.1520030648
235	0.1515063437
236	0.1511402347
237	0.1504146797
238	0.1498352878
239	0.1495574202
240	0.1488663004
241	0.1484292052
242	0.1479239448
243	0.1476304143
244	0.1474527416
245	0.1474199957
246	0.1470567049
247	0.1465618336
248	0.1457304919
249	0.145290063
250	0.1448839042
251	0.1442385882
252	0.1438796607
253	0.1433689784
254	0.1430432221
255	0.1428879243
256	0.1425415583
257	0.1421016618
258	0.1416845192
259	0.1408114748
260	0.1404631122
261	0.1401287771
262	0.1397411095
263	0.1393366842
264	0.1389719561
265	0.1381888264
266	0.1376509538
267	0.137251367
268	0.1370866372
269	0.1367892664
270	0.1366640366
271	0.1365228424
272	0.1363972794
273	0.1360575186
274	0.135571359
275	0.1352492861
276	0.134883299
277	0.1345372943
278	0.1342981699
279	0.1337141038
280	0.1333953912
281	0.132917576
282	0.1322684172
283	0.1313142396
284	0.1308837426
285	0.1305166595
286	0.1301305851
287	0.1297349414
288	0.1294744502
289	0.129168685
290	0.1287583884
291	0.1286365862
292	0.1284105419
293	0.1283076521
294	0.1281992711
295	0.127804613
296	0.1277640372
297	0.1277579065
298	0.1273842308
299	0.127119957
