,accuracy,precision,recall,f1,roc_auc,log_loss,split
logreg,0.7215384615384616,0.7467811158798283,0.8467153284671532,0.7936145952109465,0.7744963300043777,0.5536299517949878,val
mlp,0.76,0.8014184397163121,0.8248175182481752,0.8129496402877698,0.8278410652658584,0.5491301021241612,val
logreg,0.7423076923076923,0.7663755458515283,0.8529769137302552,0.8073605520414031,0.8054848677054597,0.5164169346636919,test
mlp,0.7830769230769231,0.8141695702671312,0.8517618469015796,0.832541567695962,0.8461679543318277,0.5173220318103615,test
